Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 105 0.7766 0.14367 0.98508 0.01492 2.8149 
1 106 0.7766 0.14367 0.98508 0.01492 2.8149 
1 107 0.7516 0.14003 0.99943 0.00057119 2.8391 
1 108 0.6976 0.14403 0.98052 0.01948 2.43 
1 109 0.73657 0.13533 0.98922 0.010785 2.5241 
1 110 0.74294 0.12966 0.99798 0.0020162 2.222 
1 111 0.74294 0.12966 0.99798 0.0020162 2.222 
1 112 0.72884 0.12626 0.99133 0.0086687 1.9092 
1 113 0.73893 0.11591 0.98583 0.014174 1.6 
1 114 0.74553 0.11347 0.99566 0.0043397 1.2032 
1 115 0.74553 0.11347 0.99566 0.0043397 1.2032 
1 116 0.73568 0.11812 0.99254 0.0074624 1.4716 
1 117 0.75211 0.11564 0.98278 0.017224 1.8087 
1 118 0.75211 0.11564 0.98278 0.017224 1.8087 
1 119 0.77683 0.11675 0.98037 0.01963 2.0106 
1 120 0.79037 0.11534 0.9737 0.026301 1.8959 
1 121 0.79037 0.11534 0.9737 0.026301 1.8959 
1 122 0.77263 0.12548 0.99617 0.0038289 2.3838 
1 123 0.77263 0.12548 0.99617 0.0038289 2.3838 
1 124 0.78192 0.12887 0.99081 0.0091892 2.5125 
1 125 0.78192 0.12887 0.99081 0.0091892 2.5125 
1 126 0.79804 0.14023 0.99279 0.0072108 2.7177 
1 127 0.79804 0.14023 0.99279 0.0072108 2.7177 
1 128 0.79804 0.14023 0.99279 0.0072108 2.7177 
1 129 0.78533 0.14537 0.9989 0.0010959 3.0158 
1 130 0.78533 0.14537 0.9989 0.0010959 3.0158 
1 131 0.7639 0.15172 0.99437 0.0056326 3.1715 
1 132 0.749 0.14939 0.98903 0.010973 3.0582 
1 133 0.74973 0.14476 0.99595 0.0040477 2.9905 
1 134 0.7293 0.15002 0.98377 0.016228 2.9657 
1 135 0.75638 0.14862 0.98005 0.019953 2.917 
1 136 0.73419 0.14071 0.99171 0.00829 2.7121 
1 137 0.75503 0.1554 0.98654 0.013458 3.1398 
1 138 0.74279 0.16222 0.98282 0.017184 3.1159 
1 139 0.74434 0.16266 0.97634 0.023661 3.0064 
1 140 0.72362 0.16479 0.96703 0.032967 3.0012 
1 141 0.77387 0.14811 0.96199 0.038009 2.464 
1 142 0.74047 0.13988 0.96353 0.036475 2.5443 
1 143 0.7638 0.13986 0.95885 0.041151 2.389 
1 144 0.7638 0.13986 0.95885 0.041151 2.389 
1 145 0.7638 0.13986 0.95885 0.041151 2.389 
1 146 0.7638 0.13986 0.95885 0.041151 2.389 
1 147 0.7638 0.13986 0.95885 0.041151 2.389 
1 148 0.75386 0.13983 0.96154 0.038465 2.486 
1 149 0.72062 0.15138 0.96376 0.036242 2.7608 
1 150 0.69294 0.1608 0.9647 0.0353 2.813 
1 151 0.69301 0.1493 0.97106 0.028936 2.5782 
1 152 0.69301 0.1493 0.97106 0.028936 2.5782 
1 153 0.70667 0.16943 0.96673 0.033267 3.0333 
1 154 0.70799 0.16484 0.97809 0.021907 3.1236 
1 155 0.71168 0.16725 0.99419 0.0058116 3.3414 
1 156 0.7106 0.17121 0.99122 0.0087757 3.3934 
1 157 0.70844 0.15445 0.9776 0.022403 2.8968 
1 158 0.70135 0.15229 0.98326 0.016744 2.7717 
1 159 0.73382 0.13892 0.98574 0.014261 2.6488 
1 160 0.71363 0.13893 0.97967 0.020333 2.461 
1 161 0.75194 0.13886 0.96901 0.030987 2.5797 
1 162 0.7365 0.13572 0.96484 0.035156 2.458 
1 163 0.7365 0.13572 0.96484 0.035156 2.458 
1 164 0.7365 0.13572 0.96484 0.035156 2.458 
1 165 0.77688 0.12292 0.95334 0.046656 1.9003 
1 166 0.79313 0.12347 0.9499 0.050104 1.705 
1 167 0.76222 0.12065 0.94701 0.052988 1.8418 
1 168 0.75908 0.11204 0.97247 0.027527 1.7547 
1 169 0.75667 0.12116 0.97372 0.026282 2.109 
1 170 0.78948 0.12057 0.96733 0.032673 1.9934 
