Name M_1 M_1_err Porb(days) reference
J0751+1807 0.19 0.03 0.26 Nice_2005
J1012+5307 0.16 0.02 0.60 van_Kerkwijk_2005
J1909-3744 0.13 0.04 1.53 Jacoby_2003
J1738+0333 0.18 0.01 0.35 Antoniadis_2012
J0437-4715 0.25 0.04 5.74 Verbiest_2008
B1855+09 0.26 0.03 12.33 van_Kerkwijk_2000
J0348+0432 0.172 0.003 0.103 Antoniadis_2013
J1910-5959 0.18 0.02 0.84 Corongiu_2012
