Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 103 0.72886 0.34319 0.96952 0.030481 -6.4228 
1 104 0.7542 0.34954 0.96719 0.032808 -6.5202 
1 105 0.72838 0.34063 0.96877 0.031233 -6.413 
1 106 0.69204 0.35072 0.95122 0.048779 -6.2719 
1 107 0.70093 0.33395 0.9546 0.045396 -6.2565 
1 108 0.70093 0.33395 0.9546 0.045396 -6.2565 
1 109 0.68978 0.32078 0.95125 0.048751 -6.2023 
1 110 0.68978 0.32078 0.95125 0.048751 -6.2023 
1 111 0.67585 0.31593 0.94563 0.054375 -6.1553 
1 112 0.67333 0.3048 0.93204 0.067965 -6.093 
1 113 0.68388 0.2922 0.94538 0.054621 -6.1924 
1 114 0.68388 0.2922 0.94538 0.054621 -6.1924 
1 115 0.65668 0.2941 0.9547 0.045298 -6.3453 
1 116 0.65668 0.2941 0.9547 0.045298 -6.3453 
1 117 0.65668 0.2941 0.9547 0.045298 -6.3453 
1 118 0.64224 0.30692 0.96154 0.03846 -6.4316 
1 119 0.66135 0.29825 0.97289 0.027114 -6.6941 
1 120 0.6718 0.30291 0.96718 0.032823 -6.4635 
1 121 0.6718 0.30291 0.96718 0.032823 -6.4635 
1 122 0.68426 0.32038 0.96905 0.03095 -6.3732 
1 123 0.68887 0.32926 0.98296 0.017037 -6.5707 
1 124 0.68184 0.32318 0.98216 0.017839 -6.6158 
1 125 0.67822 0.31413 0.97485 0.025152 -6.5255 
1 126 0.67822 0.31413 0.97485 0.025152 -6.5255 
1 127 0.6728 0.31325 0.97394 0.026056 -6.529 
1 128 0.6833 0.32613 0.98712 0.01288 -6.7151 
1 129 0.68852 0.32215 0.97689 0.023106 -6.4915 
1 130 0.67007 0.30733 0.98051 0.019492 -6.7792 
1 131 0.65789 0.31626 0.97859 0.021415 -6.6855 
1 132 0.65789 0.31626 0.97859 0.021415 -6.6855 
1 133 0.65194 0.31669 0.97773 0.022269 -6.6866 
1 134 0.66924 0.33527 0.98544 0.014557 -6.6444 
1 135 0.7183 0.35674 0.98494 0.015061 -6.506 
1 136 0.72075 0.3479 0.98543 0.014575 -6.5226 
1 137 0.70936 0.34779 0.97435 0.025649 -6.4061 
1 138 0.68993 0.34236 0.97215 0.027848 -6.3569 
1 139 0.67494 0.32949 0.96914 0.030862 -6.3516 
1 140 0.67874 0.33132 0.95957 0.040426 -6.2467 
1 141 0.70644 0.3349 0.97414 0.025859 -6.4009 
1 142 0.70644 0.3349 0.97414 0.025859 -6.4009 
1 143 0.72466 0.32848 0.96806 0.031937 -6.3852 
1 144 0.71517 0.32986 0.95155 0.048454 -6.2832 
1 145 0.70012 0.33831 0.95785 0.042148 -6.2729 
1 146 0.6792 0.34122 0.96355 0.036451 -6.2752 
